Line,treat,td,gut,cell mean (um),cell median (um),gut thickness max (um),gut thickness mean (um),gut thickness median (um)
9024KO,db11,16h,1,25.8739,24.8504
9024KO,db11,16h,3,31.5676,33.2058
9024KO,db11,16h,4,31.0053,33.0694
9024KO,db11,16h,5,33.7112,33.9474
9024KO,db11,16h,7,26.7942,27.2782
9024KO,db11,16h,8,32.7986,33.125
9024KO,db11,3h,4,32.646,33.1981
9024KO,db11,3h,5,32.9944,34.7018
9024KO,db11,3h,7,31.0544,31.2913
9024KO,db11,3h,8,27.7464,28.0407
9024KO,sucrose,16h,1,36.9561,37.8908
9024KO,sucrose,16h,2,33.3156,33.1161
9024KO,sucrose,16h,3,29.8322,29.3959
9024KO,sucrose,16h,4,33.7564,34.4692
9024KO,sucrose,16h,5,34.7591,35.0883
9024KO,sucrose,16h,6,31.2044,32.3192
9024KO,sucrose,16h,7,32.9026,32.8655
9024KO,sucrose,16h,8,28.642,28.8351
9024KO,sucrose,16h,9,30.8347,32.1444
w1118,db11,16h,1,22.885,19.8576
w1118,db11,16h,2,19.2077,19.606
w1118,db11,16h,3,24.7585,21.152
w1118,db11,16h,4,18.3573,15.4618
w1118,db11,16h,5,27.372,28.1194
w1118,db11,16h,7,28.5832,27.8756
w1118,db11,16h,8,24.2897,24.557
w1118,db11,16h,9,32.3126,32.3726
w1118,db11,3h,1,25.6978,25.7271
w1118,db11,3h,10,25.9319,25.5794
w1118,db11,3h,11,26.4889,27.3663
w1118,db11,3h,2,23.2062,21.0977
w1118,db11,3h,3,34.9256,34.7621
w1118,db11,3h,4,23.7046,22.4194
w1118,db11,3h,5,25.8565,25.7709
w1118,db11,3h,6,29.0806,27.6023
w1118,db11,3h,7,32.3865,34.4586
w1118,db11,3h,8,32.2585,32.4507
w1118,db11,3h,9,29.713,30.6137
w1118,sucrose,16h,1,29.8534,30.3284
w1118,sucrose,16h,10,30.1095,30.3297
w1118,sucrose,16h,11,29.227,29.0907
w1118,sucrose,16h,2,33.4852,33.4426
w1118,sucrose,16h,3,33.4852,33.4426
w1118,sucrose,16h,4,29.9927,31.0509
w1118,sucrose,16h,5,31.0778,31.3751
w1118,sucrose,16h,6,32.8092,33.9231
w1118,sucrose,16h,7,33.4656,33.892
w1118,sucrose,16h,8,34.8238,35.3462
w1118,sucrose,16h,9,33.0238,32.8668
