,A5001_Db11_4_B
258,40.19950248448356
259,39.20459156782532
260,39.20459156782532
261,124.04031602668546
262,21.840329667841555
263,56.22277118748239
264,53.33854141237835
265,17.08800749063506
266,34.17601498127012
267,56.568542494923804
268,46.87216658103186
269,45.89117562233506
270,45.27692569068709
271,45.27692569068709
272,45.17742799230607
273,13.601470508735444
274,42.95346318982906
275,42.720018726587654
276,43.08131845707603
277,122.0245876862528
278,43.18564576337837
279,112.58774356030055
280,76.90253571892151
281,36.76955262170047
