Line,treat,td,gut,cell mean (um),cell median (um),gut thickness (um)
9024KO,db11,16h,1,39.4606,40.8167
9024KO,db11,16h,3,50.1229,46.7226
9024KO,db11,16h,4,43.6282,40.7063
9024KO,db11,16h,5,55.275,56.3072
9024KO,db11,16h,7,39.3367,39.8497
